AreaCode,AreaDesc,AreaFull,MeanCode,MeanDesc,MeanFull,Ppl
063,Ashburton District,063: Ashburton District,09,Bicycle,09: Bicycle,453
063,Ashburton District,063: Ashburton District,10,Walked or jogged,10: Walked or jogged,858
063,Ashburton District,063: Ashburton District,15,Other,15: Other,96
064,Timaru District,064: Timaru District,01,Worked at home,01: Worked at home,1773
064,Timaru District,064: Timaru District,02,Did not go to work today,02: Did not go to work today,2475
064,Timaru District,064: Timaru District,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",10935
064,Timaru District,064: Timaru District,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",2748
064,Timaru District,064: Timaru District,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",831
064,Timaru District,064: Timaru District,06,Public bus,06: Public bus,75
064,Timaru District,064: Timaru District,07,Train,07: Train,3
064,Timaru District,064: Timaru District,08,Motor cycle or power cycle,08: Motor cycle or power cycle,291
064,Timaru District,064: Timaru District,09,Bicycle,09: Bicycle,588
064,Timaru District,064: Timaru District,10,Walked or jogged,10: Walked or jogged,1239
064,Timaru District,064: Timaru District,15,Other,15: Other,147
065,Mackenzie District,065: Mackenzie District,01,Worked at home,01: Worked at home,516
065,Mackenzie District,065: Mackenzie District,02,Did not go to work today,02: Did not go to work today,234
065,Mackenzie District,065: Mackenzie District,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",693
065,Mackenzie District,065: Mackenzie District,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",279
065,Mackenzie District,065: Mackenzie District,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",78
065,Mackenzie District,065: Mackenzie District,06,Public bus,06: Public bus,0
065,Mackenzie District,065: Mackenzie District,07,Train,07: Train,0
065,Mackenzie District,065: Mackenzie District,08,Motor cycle or power cycle,08: Motor cycle or power cycle,42
065,Mackenzie District,065: Mackenzie District,09,Bicycle,09: Bicycle,84
065,Mackenzie District,065: Mackenzie District,10,Walked or jogged,10: Walked or jogged,279
065,Mackenzie District,065: Mackenzie District,15,Other,15: Other,12
066,Waimate District,066: Waimate District,01,Worked at home,01: Worked at home,798
066,Waimate District,066: Waimate District,02,Did not go to work today,02: Did not go to work today,357
066,Waimate District,066: Waimate District,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",1308
066,Waimate District,066: Waimate District,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",408
066,Waimate District,066: Waimate District,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",120
066,Waimate District,066: Waimate District,06,Public bus,06: Public bus,0
066,Waimate District,066: Waimate District,07,Train,07: Train,0
066,Waimate District,066: Waimate District,08,Motor cycle or power cycle,08: Motor cycle or power cycle,153
066,Waimate District,066: Waimate District,09,Bicycle,09: Bicycle,45
066,Waimate District,066: Waimate District,10,Walked or jogged,10: Walked or jogged,189
066,Waimate District,066: Waimate District,15,Other,15: Other,21
067,Chatham Islands Territory,067: Chatham Islands Territory,01,Worked at home,01: Worked at home,48
067,Chatham Islands Territory,067: Chatham Islands Territory,02,Did not go to work today,02: Did not go to work today,54
067,Chatham Islands Territory,067: Chatham Islands Territory,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",117
067,Chatham Islands Territory,067: Chatham Islands Territory,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",33
067,Chatham Islands Territory,067: Chatham Islands Territory,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",6
067,Chatham Islands Territory,067: Chatham Islands Territory,06,Public bus,06: Public bus,0
067,Chatham Islands Territory,067: Chatham Islands Territory,07,Train,07: Train,0
067,Chatham Islands Territory,067: Chatham Islands Territory,08,Motor cycle or power cycle,08: Motor cycle or power cycle,18
067,Chatham Islands Territory,067: Chatham Islands Territory,09,Bicycle,09: Bicycle,3
067,Chatham Islands Territory,067: Chatham Islands Territory,10,Walked or jogged,10: Walked or jogged,30
067,Chatham Islands Territory,067: Chatham Islands Territory,15,Other,15: Other,3
068,Waitaki District,068: Waitaki District,01,Worked at home,01: Worked at home,1368
068,Waitaki District,068: Waitaki District,02,Did not go to work today,02: Did not go to work today,1101
068,Waitaki District,068: Waitaki District,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",4392
068,Waitaki District,068: Waitaki District,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",1137
068,Waitaki District,068: Waitaki District,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",399
068,Waitaki District,068: Waitaki District,06,Public bus,06: Public bus,12
068,Waitaki District,068: Waitaki District,07,Train,07: Train,0
068,Waitaki District,068: Waitaki District,08,Motor cycle or power cycle,08: Motor cycle or power cycle,225
068,Waitaki District,068: Waitaki District,09,Bicycle,09: Bicycle,189
068,Waitaki District,068: Waitaki District,10,Walked or jogged,10: Walked or jogged,630
068,Waitaki District,068: Waitaki District,15,Other,15: Other,66
069,Central Otago District,069: Central Otago District,01,Worked at home,01: Worked at home,1293
069,Central Otago District,069: Central Otago District,02,Did not go to work today,02: Did not go to work today,1005
069,Central Otago District,069: Central Otago District,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",3921
069,Central Otago District,069: Central Otago District,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",1566
069,Central Otago District,069: Central Otago District,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",402
069,Central Otago District,069: Central Otago District,06,Public bus,06: Public bus,6
069,Central Otago District,069: Central Otago District,07,Train,07: Train,3
069,Central Otago District,069: Central Otago District,08,Motor cycle or power cycle,08: Motor cycle or power cycle,84
069,Central Otago District,069: Central Otago District,09,Bicycle,09: Bicycle,348
069,Central Otago District,069: Central Otago District,10,Walked or jogged,10: Walked or jogged,699
069,Central Otago District,069: Central Otago District,15,Other,15: Other,45
070,Queenstown-Lakes District,070: Queenstown-Lakes District,01,Worked at home,01: Worked at home,1800
070,Queenstown-Lakes District,070: Queenstown-Lakes District,02,Did not go to work today,02: Did not go to work today,1884
070,Queenstown-Lakes District,070: Queenstown-Lakes District,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",6996
070,Queenstown-Lakes District,070: Queenstown-Lakes District,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",2100
070,Queenstown-Lakes District,070: Queenstown-Lakes District,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",477
070,Queenstown-Lakes District,070: Queenstown-Lakes District,06,Public bus,06: Public bus,225
070,Queenstown-Lakes District,070: Queenstown-Lakes District,07,Train,07: Train,3
070,Queenstown-Lakes District,070: Queenstown-Lakes District,08,Motor cycle or power cycle,08: Motor cycle or power cycle,84
070,Queenstown-Lakes District,070: Queenstown-Lakes District,09,Bicycle,09: Bicycle,516
070,Queenstown-Lakes District,070: Queenstown-Lakes District,10,Walked or jogged,10: Walked or jogged,1839
070,Queenstown-Lakes District,070: Queenstown-Lakes District,15,Other,15: Other,159
071,Dunedin City,071: Dunedin City,01,Worked at home,01: Worked at home,3150
071,Dunedin City,071: Dunedin City,02,Did not go to work today,02: Did not go to work today,6645
071,Dunedin City,071: Dunedin City,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",27597
071,Dunedin City,071: Dunedin City,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",5559
071,Dunedin City,071: Dunedin City,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",2649
071,Dunedin City,071: Dunedin City,06,Public bus,06: Public bus,1464
071,Dunedin City,071: Dunedin City,07,Train,07: Train,18
071,Dunedin City,071: Dunedin City,08,Motor cycle or power cycle,08: Motor cycle or power cycle,441
071,Dunedin City,071: Dunedin City,09,Bicycle,09: Bicycle,1224
071,Dunedin City,071: Dunedin City,10,Walked or jogged,10: Walked or jogged,5085
071,Dunedin City,071: Dunedin City,15,Other,15: Other,411
072,Clutha District,072: Clutha District,01,Worked at home,01: Worked at home,1650
072,Clutha District,072: Clutha District,02,Did not go to work today,02: Did not go to work today,798
072,Clutha District,072: Clutha District,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",3723
072,Clutha District,072: Clutha District,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",957
072,Clutha District,072: Clutha District,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",381
072,Clutha District,072: Clutha District,06,Public bus,06: Public bus,9
072,Clutha District,072: Clutha District,07,Train,07: Train,3
072,Clutha District,072: Clutha District,08,Motor cycle or power cycle,08: Motor cycle or power cycle,270
072,Clutha District,072: Clutha District,09,Bicycle,09: Bicycle,87
072,Clutha District,072: Clutha District,10,Walked or jogged,10: Walked or jogged,531
072,Clutha District,072: Clutha District,15,Other,15: Other,42
073,Southland District,073: Southland District,01,Worked at home,01: Worked at home,3897
073,Southland District,073: Southland District,02,Did not go to work today,02: Did not go to work today,1545
073,Southland District,073: Southland District,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",5613
073,Southland District,073: Southland District,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",1896
073,Southland District,073: Southland District,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",429
073,Southland District,073: Southland District,06,Public bus,06: Public bus,39
073,Southland District,073: Southland District,07,Train,07: Train,6
073,Southland District,073: Southland District,08,Motor cycle or power cycle,08: Motor cycle or power cycle,939
073,Southland District,073: Southland District,09,Bicycle,09: Bicycle,225
073,Southland District,073: Southland District,10,Walked or jogged,10: Walked or jogged,885
073,Southland District,073: Southland District,15,Other,15: Other,180
074,Gore District,074: Gore District,01,Worked at home,01: Worked at home,744
074,Gore District,074: Gore District,02,Did not go to work today,02: Did not go to work today,651
074,Gore District,074: Gore District,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",2832
074,Gore District,074: Gore District,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",795
074,Gore District,074: Gore District,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",255
074,Gore District,074: Gore District,06,Public bus,06: Public bus,15
074,Gore District,074: Gore District,07,Train,07: Train,0
074,Gore District,074: Gore District,08,Motor cycle or power cycle,08: Motor cycle or power cycle,81
074,Gore District,074: Gore District,09,Bicycle,09: Bicycle,90
074,Gore District,074: Gore District,10,Walked or jogged,10: Walked or jogged,345
074,Gore District,074: Gore District,15,Other,15: Other,27
075,Invercargill City,075: Invercargill City,01,Worked at home,01: Worked at home,999
075,Invercargill City,075: Invercargill City,02,Did not go to work today,02: Did not go to work today,2841
075,Invercargill City,075: Invercargill City,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",13869
075,Invercargill City,075: Invercargill City,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",3282
075,Invercargill City,075: Invercargill City,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",1473
075,Invercargill City,075: Invercargill City,06,Public bus,06: Public bus,156
075,Invercargill City,075: Invercargill City,07,Train,07: Train,6
075,Invercargill City,075: Invercargill City,08,Motor cycle or power cycle,08: Motor cycle or power cycle,168
075,Invercargill City,075: Invercargill City,09,Bicycle,09: Bicycle,495
075,Invercargill City,075: Invercargill City,10,Walked or jogged,10: Walked or jogged,1107
075,Invercargill City,075: Invercargill City,15,Other,15: Other,165
